keys,en,de,it,fr,es
PLAY,Play,Spielen,Gioca,Jouer,Jugar
HALL,Hall of Fame,Hall of Fame,Hall of Fame,Hall of Fame,Salón de la Fama
SETTINGS,Settings,Einstellungen,Impostazioni,Paramètres,Ajustes
EXIT,Exit,Exit,Esci,Exit,Salir
MUSIC_OFF,Music off,Musik aus,Musica off,No musique,Música apagada
MUSIC_1,Music 1,Musik 1,Musica 1,Musique 1,Música 1
MUSIC_2,Music 2,Musik 2,Musica 2,Musique 2,Música 2
SFX_ON,Sfx on,Sfx ein,Sfx si,Sfx oui,SFX encendido
SFX_OFF,Sfx off,Sfx aus,Sfx no,Sfx no,SFX apagado
LOGIN_ARCADE,Login arcade,Einloggen,Accedi arcade,Connexion,Acceso arcade
RATE,Rate game,Bewerten,Valuta gioco,Évaluation,Califica el juego
MORE_GAMES,More games,Mehr Spiele,Piu giochi,Autres jeux,Más juegos
SPECIAL_CODE,Special code,Spezial kode,Codice speciale,Code spécial,Código especial
GO_BACK,Go back,Zurück,Indietro,Retourner,Atrás
PLAYED,Played,Gesp.,Giocati,Joué,Jugado
WIN,Win,Gew.,Vinti,Gagner,Ganado
LEAGUE,League,Liga,Liga,Ligue,Liga
TOURNAMENT,Tournament,Turnier,Torneo,Tournoi,Torneo
ARCADE,Arcade,Arcade,Arcade,Arcade,Arcade
P_VS_PC,1 Player,1 Spieler,1 Giocatore,1 Joueur,1 Jugador
P_VS_P,2 Players,2 Spieler,2 Giocatori,2 Joueurs,2 Jugadores
B_VS_B,Bot vs Bot,Bot vs Bot,Bot vs Bot,Bot vs Bot,Bot vs Bot
SPEED,Speed,Speed,Velocità ,Rapidité,Velocidad
POWER,Power,Kraft,Forza,Force,Fuerza
FREEZE,Freeze,Erfrieren,Gela,Geler,Congelación
ONLINE,Online,Online,Online,Online,En línea
EASY,Easy,Leicht,Facile,Facile,Fácil
MEDIUM,Medium,Mittel,Medio,Moyen,Medio
HARD,Hard,Schwierig,Difficile,Dur,Difícil
EXTREME,Extreme,Extrem,Estremo,Extrême,Extremo
LEGEND,Legend,Legende,Leggenda,Légende,Legendario
RESUME,Resume,Weiter,Continua,Reprise,Continuar
MENU,Menu,Menü,Menù,Menu,Menú
REPLAY,Replay,Nochmal,Rigioca,Rejouer,Volver a jugar
INDIA,India,Indien,India,Inde,India
GERMANY,Germany,Deutschland,Germania,Allemagne,Alemania
AUSTRIA,Austria,Österreich,Austria,Autriche,Austria
SLOVENIA,Slovenia,Slovenien,Slovenia,Slovénie,Eslovenia
FRANCE,France,Frankreich,Francia,France,Francia
RUSSIA,Russia,Russland,Russia,Russie,Rusia
JAPAN,Japan,Japan,Giappone,Japon,Japón
AUSTRALIA,Australia,Australien,Australia,Australie,Australia
ITALY,Italy,Italien,Italia ,Italie,Italia
SWITZERLAND,Switzerland,Schweiz,Svizzera,Suisse,Suiza
USA,Usa,Usa,Stati uniti,États-unis,Estados Unidos
CANADA,Canada,Kanada,Canada,Canada,Canadá
GROUP,Group,Gruppe,Gruppo,Groupe,Grupo
START_NEW,Start new,Neustart,Rinizia,Nouveau départ,Empezar nuevo
TEAM,Team,Mannschaft,Squadra,Équipe,Equipo
CONTINUE,Continue,Weiter,Continua,Continuer,Continuar
BUY,Buy,Kaufen,Compra,Acheter,Comprar
BALL,Ball,Ball,Palla,Boule,Pelota
GLOVES,Gloves,Handschuhe,Guanti,Gants,Guantes
STICK,Stick,Schläger,Mazza,Crosse,Palo
FIELD,Field,Feld,Campo,Terrain,Campo
HELMET,Helmet,Helm,Casco,Casque,Casco
SHOP,Shop,Shop,Negozio,Boutique,Tienda
YES,Yes,Ja,Si,Oui,Sí
NO,No,Nein,No,No,No
WARNING_NEW,YOUR CURRENT\nPROGRESS WILL\nBE LOST!\nCONTINUE?,DEIN AKTUELLER\nFORTSCHRITT\nGEHT VERLOREN!\nBIST DU SICHER?,IL TUO TORNEO\nATTUALE SARA'\nPERSO!\nCONTINUARE?,VOTRE PROGRES\nACTUEL SERA\nPERDU !\nCONTINUER ?,¡TU PROGRESO ACTUAL\nSE PERDERÁ!\n¿CONTINUAR?
GROUP_A,GROUP A,GRUPPE A,GRUPPO A,GROUPE A,GRUPO A
GROUP_B,GROUP B,GRUPPE B,GRUPPO B,GROUPE B,GRUPO B
GROUP_C,GROUP C,GRUPPE C,GRUPPO C,GROUPE C,GRUPO C
GROUP_D,GROUP D,GRUPPE D,GRUPPO D,GROUPE D,GRUPO D
P,G,S,G,J,G
W,W,G,V,W,W
L,L,V,P,P,L
GD,GD,TD,DR,DDB,GD
SEMI_FINALS,SEMI FINALS,SEMI FINALE,SEMI FINALE,SEMIFINALS,SEMIFINALES
QUARTER_FINALS,QUARTER FINALS,VIERTEL FINALE,QUARTI DI FINALE,QUART DE FINALES,CUARTOS DE FINALES
FINAL,FINAL,FINALE,FINALE,FINAL,FINAL
WORLD_CHAMPION,WORLD CHAMPION,WELTMEISTER,CAMPIONE DEL MONDO,CHAMPION MONDIAL,CAMPEÓN MUNDIAL
JOIN,Add your team!,Mehr Teams,Più squadre,Plus d'équipes,¡Añade tu equipo!
SELECT,Select,Auswählen,Seleziona,Sélectionner,Seleccionar
SELECTED,Selected,Ausgewählt,Selezionato,Sélectionné,Seleccionado
INFO,Info,Infos,Info,Info,Información
WEBSITE,Website,Website,Sito web,Site web,Sitio web
DONATE,Donate,Spenden,Donazione,Donation,Donar
